,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
446,Poland,Northern,2016,1,0,1
447,Germany,Ukraine,2016,2,0,2
448,Ukraine,Northern,2016,0,2,2
449,Germany,Poland,2016,0,0,0
450,Ukraine,Poland,2016,0,1,1
451,Northern,vs,2016,0,1,1
452,Turkey,Croatia,2016,0,1,1
453,Spain,Czech,2016,1,0,1
454,Czech,vs,2016,2,2,4
455,Spain,Turkey,2016,3,0,3
456,Czech,vs,2016,0,2,2
457,Croatia,Spain,2016,2,1,3
458,Republic,Ireland,2016,1,1,2
459,Belgium,Italy,2016,0,2,2
460,Italy,Sweden,2016,1,0,1
461,Belgium,Republic,2016,3,0,3
462,Italy,Republic,2016,0,1,1
463,Sweden,Belgium,2016,0,1,1
464,Austria,Hungary,2016,0,2,2
465,Portugal,Iceland,2016,1,1,2
466,Iceland,Hungary,2016,1,1,2
467,Portugal,Austria,2016,0,0,0
468,Iceland,Austria,2016,2,1,3
469,Hungary,Portugal,2016,3,3,6
470,Switzerland,Poland,2016,1,1,2
471,Wales,Northern,2016,1,0,1
472,Croatia,Portugal,2016,0,1,1
473,France,Republic,2016,2,1,3
474,Germany,Slovakia,2016,3,0,3
475,Hungary,Belgium,2016,0,4,4
476,Italy,Spain,2016,2,0,2
477,England,Iceland,2016,1,2,3
478,Poland,Portugal,2016,1,1,2
479,Wales,Belgium,2016,3,1,4
480,Germany,Italy,2016,1,1,2
481,France,Iceland,2016,5,2,7
482,Portugal,Wales,2016,2,0,2
483,Germany,France,2016,0,2,2
484,Final,finalaway,2016,1,0,1
485,Germany,Romania,2020,1,1,2
486,Portugal,England,2020,3,2,5
487,Romania,Portugal,2020,0,1,1
488,England,Germany,2020,1,0,1
489,England,Romania,2020,2,3,5
490,Portugal,Germany,2020,3,0,3
491,Belgium,Sweden,2020,2,1,3
492,Turkey,Italy,2020,1,2,3
493,Italy,Belgium,2020,2,0,2
494,Sweden,Turkey,2020,0,0,0
495,Turkey,Belgium,2020,2,0,2
496,Italy,Sweden,2020,2,1,3
497,Spain,Norway,2020,0,1,1
498,FR,vs,2020,3,3,6
499,Slovenia,Spain,2020,1,2,3
500,Norway,FR,2020,0,1,1
501,FR,vs,2020,3,4,7
502,Slovenia,Norway,2020,0,0,0
503,France,Denmark,2020,3,0,3
504,Netherlands,Czech,2020,1,0,1
505,Czech,vs,2020,1,2,3
506,Denmark,Netherlands,2020,0,3,3
507,Denmark,Czech,2020,0,2,2
508,France,Netherlands,2020,2,3,5
509,Turkey,Portugal,2020,0,2,2
510,Italy,Romania,2020,2,0,2
511,Netherlands,FR,2020,6,1,7
512,Spain,France,2020,1,2,3
513,France,Portugal,2020,2,1,3
514,Italy,Netherlands,2020,0,0,0
515,Final,finalaway,2020,2,1,3
516,Portugal,Greece,2020,1,2,3
517,Spain,Russia,2020,1,0,1
518,Greece,Spain,2020,1,1,2
519,Russia,Portugal,2020,0,2,2
520,Spain,Portugal,2020,0,1,1
521,Russia,Greece,2020,2,1,3
522,Switzerland,Croatia,2020,0,0,0
523,France,England,2020,2,1,3
524,England,Switzerland,2020,3,0,3
525,Croatia,France,2020,2,2,4
526,Croatia,England,2020,2,4,6
527,Switzerland,France,2020,1,3,4
528,Denmark,Italy,2020,0,0,0
529,Sweden,Bulgaria,2020,5,0,5
530,Bulgaria,Denmark,2020,0,2,2
531,Italy,Sweden,2020,1,1,2
532,Italy,Bulgaria,2020,2,1,3
533,Denmark,Sweden,2020,2,2,4
534,Czech,vs,2020,2,1,3
535,Germany,Netherlands,2020,1,1,2
536,Latvia,Germany,2020,0,0,0
537,Netherlands,Czech,2020,2,3,5
538,Netherlands,Latvia,2020,3,0,3
539,Germany,Czech,2020,1,2,3
540,Portugal,England,2020,2,2,4
541,France,Greece,2020,0,1,1
542,Sweden,Netherlands,2020,0,0,0
543,Czech,vs,2020,3,0,3
544,Portugal,Netherlands,2020,2,1,3
545,Greece,Czech,2020,1,0,1
546,Final,finalaway,2020,0,1,1
547,Switzerland,Czech,2020,0,1,1
548,Portugal,Turkey,2020,2,0,2
549,Czech,vs,2020,1,3,4
550,Switzerland,Turkey,2020,1,2,3
551,Switzerland,Portugal,2020,2,0,2
552,Turkey,Czech,2020,3,2,5
553,Austria,Croatia,2020,0,1,1
554,Germany,Poland,2020,2,0,2
555,Croatia,Germany,2020,2,1,3
556,Austria,Poland,2020,1,1,2
557,Poland,Croatia,2020,0,1,1
558,Austria,Germany,2020,0,1,1
559,Romania,France,2020,0,0,0
560,Netherlands,Italy,2020,3,0,3
561,Italy,Romania,2020,1,1,2
562,Netherlands,France,2020,4,1,5
563,Netherlands,Romania,2020,2,0,2
564,France,Italy,2020,0,2,2
565,Spain,Russia,2020,4,1,5
566,Greece,Sweden,2020,0,2,2
567,Sweden,Spain,2020,1,2,3
568,Greece,Russia,2020,0,1,1
569,Greece,Spain,2020,1,2,3
570,Russia,Sweden,2020,2,0,2
571,Portugal,Germany,2020,2,3,5
572,Croatia,Turkey,2020,1,1,2
573,Netherlands,Russia,2020,1,3,4
574,Spain,Italy,2020,0,0,0
575,Germany,Turkey,2020,3,2,5
576,Russia,Spain,2020,0,3,3
577,Final,finalaway,2020,0,1,1
578,Poland,Greece,2020,1,1,2
579,Russia,Czech,2020,4,1,5
580,Greece,Czech,2020,1,2,3
581,Poland,Russia,2020,1,1,2
582,Czech,vs,2020,1,0,1
583,Greece,Russia,2020,1,0,1
584,Netherlands,Denmark,2020,0,1,1
585,Germany,Portugal,2020,1,0,1
586,Denmark,Portugal,2020,2,3,5
587,Netherlands,Germany,2020,1,2,3
588,Portugal,Netherlands,2020,2,1,3
589,Denmark,Germany,2020,1,2,3
590,Spain,Italy,2020,1,1,2
591,Republic,Ireland,2020,1,3,4
592,Italy,Croatia,2020,1,1,2
593,Spain,Republic,2020,4,0,4
594,Croatia,Spain,2020,0,1,1
595,Italy,Republic,2020,2,0,2
596,France,England,2020,1,1,2
597,Ukraine,Sweden,2020,2,1,3
598,Ukraine,France,2020,0,2,2
599,Sweden,England,2020,2,3,5
600,England,Ukraine,2020,1,0,1
601,Sweden,France,2020,2,0,2
602,Czech,vs,2020,0,1,1
603,Germany,Greece,2020,4,2,6
604,Spain,France,2020,2,0,2
605,England,Italy,2020,0,0,0
606,Portugal,Spain,2020,0,0,0
607,Germany,Italy,2020,1,2,3
608,Final,finalaway,2020,4,0,4
609,France,Romania,2020,2,1,3
610,Albania,Switzerland,2020,0,1,1
611,Romania,Switzerland,2020,1,1,2
612,France,Albania,2020,2,0,2
613,Romania,Albania,2020,0,1,1
614,Switzerland,France,2020,0,0,0
615,Wales,Slovakia,2020,2,1,3
616,England,Russia,2020,1,1,2
617,Russia,Slovakia,2020,1,2,3
618,England,Wales,2020,2,1,3
619,Russia,Wales,2020,0,3,3
620,Slovakia,England,2020,0,0,0
621,Poland,Northern,2020,1,0,1
622,Germany,Ukraine,2020,2,0,2
623,Ukraine,Northern,2020,0,2,2
624,Germany,Poland,2020,0,0,0
625,Ukraine,Poland,2020,0,1,1
626,Northern,vs,2020,0,1,1
627,Turkey,Croatia,2020,0,1,1
628,Spain,Czech,2020,1,0,1
629,Czech,vs,2020,2,2,4
630,Spain,Turkey,2020,3,0,3
631,Czech,vs,2020,0,2,2
632,Croatia,Spain,2020,2,1,3
633,Republic,Ireland,2020,1,1,2
634,Belgium,Italy,2020,0,2,2
635,Italy,Sweden,2020,1,0,1
636,Belgium,Republic,2020,3,0,3
637,Italy,Republic,2020,0,1,1
638,Sweden,Belgium,2020,0,1,1
639,Austria,Hungary,2020,0,2,2
640,Portugal,Iceland,2020,1,1,2
641,Iceland,Hungary,2020,1,1,2
642,Portugal,Austria,2020,0,0,0
643,Iceland,Austria,2020,2,1,3
644,Hungary,Portugal,2020,3,3,6
645,Switzerland,Poland,2020,1,1,2
646,Wales,Northern,2020,1,0,1
647,Croatia,Portugal,2020,0,1,1
648,France,Republic,2020,2,1,3
649,Germany,Slovakia,2020,3,0,3
650,Hungary,Belgium,2020,0,4,4
651,Italy,Spain,2020,2,0,2
652,England,Iceland,2020,1,2,3
653,Poland,Portugal,2020,1,1,2
654,Wales,Belgium,2020,3,1,4
655,Germany,Italy,2020,1,1,2
656,France,Iceland,2020,5,2,7
657,Portugal,Wales,2020,2,0,2
658,Germany,France,2020,0,2,2
659,Final,finalaway,2020,1,0,1
660,Turkey,Italy,2020,0,3,3
661,Wales,Switzerland,2020,1,1,2
662,Turkey,Wales,2020,0,2,2
663,Italy,Switzerland,2020,3,0,3
664,Switzerland,Turkey,2020,3,1,4
665,Italy,Wales,2020,1,0,1
666,Denmark,Finland,2020,0,1,1
667,Belgium,Russia,2020,3,0,3
668,Finland,Russia,2020,0,1,1
669,Denmark,Belgium,2020,1,2,3
670,Russia,Denmark,2020,1,4,5
671,Finland,Belgium,2020,0,2,2
672,Austria,North,2020,3,1,4
673,Netherlands,Ukraine,2020,3,2,5
674,Ukraine,North,2020,2,1,3
675,Netherlands,Austria,2020,2,0,2
676,North,vs,2020,0,3,3
677,Ukraine,Austria,2020,0,1,1
678,England,Croatia,2020,1,0,1
679,Scotland,Czech,2020,0,2,2
680,Croatia,Czech,2020,1,1,2
681,England,Scotland,2020,0,0,0
682,Croatia,Scotland,2020,3,1,4
683,Czech,vs,2020,0,1,1
684,Poland,Slovakia,2020,1,2,3
685,Spain,Sweden,2020,0,0,0
686,Sweden,Slovakia,2020,1,0,1
687,Spain,Poland,2020,1,1,2
688,Slovakia,Spain,2020,0,5,5
689,Sweden,Poland,2020,3,2,5
690,Hungary,Portugal,2020,0,3,3
691,France,Germany,2020,1,0,1
692,Hungary,France,2020,1,1,2
693,Portugal,Germany,2020,2,4,6
694,Portugal,France,2020,2,2,4
695,Germany,Hungary,2020,2,2,4
696,Wales,Denmark,2020,0,4,4
697,Italy,Austria,2020,2,1,3
698,Netherlands,Czech,2020,0,2,2
699,Belgium,Portugal,2020,1,0,1
700,Croatia,Spain,2020,3,5,8
701,France,Switzerland,2020,3,3,6
702,England,Germany,2020,2,0,2
703,Sweden,Ukraine,2020,1,2,3
704,Switzerland,Spain,2020,1,1,2
705,Belgium,Italy,2020,1,2,3
706,Czech,vs,2020,1,2,3
707,Ukraine,England,2020,0,4,4
